Respondent,Country,Student,Employment,YearsCoding,YearsCodingProf,Currency,Salary,SalaryType,ConvertedSalary
1,Kenya,No,Employed part-time,3-5 years,3-5 years,NA,NA,Monthly,NA
3,United Kingdom,No,Employed full-time,30 or more years,18-20 years,British pounds sterling (£),51000,Yearly,70841
4,United States,No,Employed full-time,24-26 years,6-8 years,NA,NA,NA,NA
5,United States,No,Employed full-time,18-20 years,12-14 years,U.S. dollars ($),NA,NA,NA
7,South Africa,"Yes, part-time",Employed full-time,6-8 years,0-2 years,South African rands (R),260000,Yearly,21426
8,United Kingdom,No,Employed full-time,6-8 years,3-5 years,British pounds sterling (£),30000,NA,41671
9,United States,No,Employed full-time,9-11 years,0-2 years,U.S. dollars ($),120000,Yearly,120000
10,Nigeria,No,Employed full-time,0-2 years,3-5 years,NA,NA,NA,NA
11,United States,No,Employed full-time,30 or more years,21-23 years,U.S. dollars ($),250000,Yearly,250000
16,India,No,Employed full-time,0-2 years,NA,NA,NA,NA,NA
17,Spain,No,Employed full-time,6-8 years,0-2 years,NA,NA,NA,NA
18,India,No,Employed full-time,0-2 years,NA,NA,NA,NA,NA
19,Croatia,NA,Employed full-time,0-2 years,NA,NA,NA,NA,NA
20,India,No,Employed full-time,3-5 years,3-5 years,NA,NA,NA,NA
21,Netherlands,"Yes, full-time",Employed full-time,0-2 years,0-2 years,Euros (€),0,Monthly,0
22,Israel,No,Employed full-time,3-5 years,3-5 years,NA,NA,NA,NA
26,United States,"Yes, full-time",Employed part-time,0-2 years,NA,NA,NA,NA,NA
27,Sweden,No,Employed full-time,6-8 years,0-2 years,Swedish kroner (SEK),32000,Monthly,47904
29,India,"Yes, full-time",Employed full-time,0-2 years,3-5 years,NA,NA,Monthly,NA
31,Chile,"Yes, full-time",Employed part-time,3-5 years,NA,NA,NA,NA,NA
33,Australia,No,Employed full-time,15-17 years,12-14 years,Australian dollars (A$),120000,Yearly,95968
34,United States,No,Employed full-time,24-26 years,24-26 years,U.S. dollars ($),NA,Monthly,NA
37,United Kingdom,No,Employed full-time,9-11 years,6-8 years,British pounds sterling (£),25,Monthly,420
38,United States,No,Employed full-time,18-20 years,18-20 years,U.S. dollars ($),75000,Yearly,75000
39,India,No,Employed full-time,3-5 years,3-5 years,Indian rupees (₹),700000,Yearly,10958
41,Greece,"Yes, full-time",Employed full-time,9-11 years,9-11 years,Euros (€),3500,Monthly,51408
43,Sweden,No,Employed full-time,12-14 years,12-14 years,Swedish kroner (SEK),582000,Yearly,72611
44,United States,No,Employed full-time,3-5 years,0-2 years,U.S. dollars ($),75000,Monthly,9.00E+05
45,United States,No,Employed full-time,6-8 years,3-5 years,NA,NA,NA,NA
46,United Kingdom,No,Employed full-time,9-11 years,6-8 years,British pounds sterling (£),NA,NA,NA
47,Poland,No,Employed full-time,3-5 years,3-5 years,Polish złoty (zł),8500,Monthly,30000
50,Sweden,"Yes, full-time",Employed full-time,9-11 years,6-8 years,Swedish kroner (SEK),NA,Monthly,NA
51,United States,No,Employed full-time,6-8 years,0-2 years,U.S. dollars ($),44000,Yearly,44000
52,United States,No,Employed full-time,3-5 years,3-5 years,U.S. dollars ($),60000,Yearly,60000
53,Poland,No,Employed full-time,18-20 years,NA,NA,NA,NA,NA
54,United States,No,Employed full-time,12-14 years,6-8 years,U.S. dollars ($),80000,Yearly,80000
55,United Kingdom,No,Employed full-time,9-11 years,3-5 years,British pounds sterling (£),NA,NA,NA
56,Belgium,"Yes, part-time",Employed full-time,6-8 years,3-5 years,Euros (€),2600,NA,NA
57,Argentina,"Yes, part-time",Employed full-time,0-2 years,0-2 years,NA,NA,NA,NA
59,United States,No,Employed full-time,30 or more years,12-14 years,U.S. dollars ($),NA,NA,NA
60,Germany,"Yes, full-time",Employed part-time,9-11 years,NA,NA,NA,NA,NA
61,India,No,Employed full-time,0-2 years,0-2 years,Indian rupees (₹),660000,Monthly,123984
63,Russian Federation,No,Employed full-time,24-26 years,24-26 years,Russian rubles (₽),100000,Monthly,21228
66,United States,No,Employed full-time,9-11 years,6-8 years,U.S. dollars ($),74000,Yearly,74000
67,India,No,Employed full-time,6-8 years,0-2 years,Indian rupees (₹),NA,NA,NA
71,India,No,Employed full-time,3-5 years,3-5 years,Indian rupees (₹),,Monthly,6576
72,United States,No,Employed full-time,15-17 years,9-11 years,U.S. dollars ($),115000,Yearly,115000
75,United States,No,Employed full-time,3-5 years,3-5 years,U.S. dollars ($),70000,Yearly,70000
76,Indonesia,"Yes, full-time",Employed full-time,6-8 years,6-8 years,NA,NA,Monthly,NA
77,United States,No,Employed full-time,15-17 years,3-5 years,U.S. dollars ($),90000,NA,90000
78,United States,No,Employed full-time,21-23 years,21-23 years,NA,NA,NA,NA
79,United States,No,Employed full-time,18-20 years,18-20 years,U.S. dollars ($),115000,Yearly,115000
80,United States,No,Employed full-time,9-11 years,6-8 years,NA,NA,NA,NA
81,Germany,No,Employed full-time,9-11 years,9-11 years,Euros (€),5000,Monthly,73428
82,India,No,Employed full-time,9-11 years,9-11 years,NA,NA,NA,NA
83,Germany,"Yes, full-time",Employed full-time,6-8 years,0-2 years,Euros (€),NA,NA,NA
84,Ireland,No,Employed full-time,18-20 years,15-17 years,Euros (€),105000,NA,128507
85,France,"Yes, part-time",Employed part-time,9-11 years,0-2 years,Euros (€),900,Monthly,13212
87,Ukraine,No,Employed full-time,9-11 years,9-11 years,Euros (€),NA,NA,NA
88,Spain,No,Employed full-time,18-20 years,NA,NA,NA,NA,NA
89,Denmark,"Yes, full-time",Employed part-time,3-5 years,3-5 years,Danish krone (kr),NA,Monthly,NA
90,United States,No,Employed full-time,12-14 years,3-5 years,U.S. dollars ($),NA,NA,NA
91,United States,No,Employed full-time,12-14 years,6-8 years,U.S. dollars ($),120000,Yearly,120000
92,Germany,No,Employed full-time,6-8 years,0-2 years,Euros (€),40000,NA,48955
95,Dominican Republic,No,Employed full-time,3-5 years,NA,NA,NA,Monthly,NA
96,China,No,Employed full-time,6-8 years,0-2 years,Chinese yuan renminbi (¥),2500,Weekly,19500
97,United States,No,Employed full-time,3-5 years,NA,NA,NA,NA,NA
98,United States,No,Employed full-time,9-11 years,9-11 years,NA,NA,NA,NA
101,India,"Yes, full-time",Employed full-time,3-5 years,NA,NA,NA,NA,NA
103,Russian Federation,"Yes, full-time",Employed part-time,6-8 years,3-5 years,Russian rubles (₽),NA,Monthly,NA
105,China,No,Employed full-time,12-14 years,3-5 years,Chinese yuan renminbi (¥),550000,Yearly,85708
106,Latvia,No,Employed full-time,12-14 years,12-14 years,NA,NA,NA,NA
107,Algeria,No,Employed full-time,6-8 years,6-8 years,NA,NA,NA,NA
111,United States,No,Employed full-time,0-2 years,0-2 years,U.S. dollars ($),3000,Monthly,36000
112,India,No,Employed full-time,3-5 years,NA,NA,NA,NA,NA
113,United States,No,Employed full-time,24-26 years,21-23 years,NA,NA,NA,NA
117,Colombia,No,Employed full-time,15-17 years,12-14 years,NA,15200000,Monthly,64116
118,India,No,Employed full-time,12-14 years,NA,NA,NA,NA,NA
119,India,No,Employed full-time,3-5 years,0-2 years,Indian rupees (₹),NA,NA,NA
120,United Kingdom,No,Employed full-time,15-17 years,3-5 years,British pounds sterling (£),32500,NA,45144
122,Japan,No,Employed full-time,0-2 years,0-2 years,Japanese yen (¥),300000,Monthly,32412
123,France,No,Employed full-time,15-17 years,9-11 years,Euros (€),43000,Yearly,52627
124,United Kingdom,No,Employed full-time,24-26 years,9-11 years,British pounds sterling (£),59500,Yearly,82648
125,Indonesia,No,Employed full-time,3-5 years,3-5 years,NA,NA,NA,NA
126,Argentina,"Yes, part-time",Employed full-time,3-5 years,3-5 years,NA,16000,NA,NA
127,United States,No,Employed full-time,9-11 years,3-5 years,U.S. dollars ($),78000,Yearly,78000
129,United States,"Yes, full-time",Employed full-time,6-8 years,0-2 years,U.S. dollars ($),120000,Yearly,120000
131,Russian Federation,No,Employed full-time,3-5 years,3-5 years,Russian rubles (₽),200000,Monthly,42456
132,Finland,No,Employed full-time,9-11 years,3-5 years,NA,NA,NA,NA
133,India,"Yes, full-time",Employed full-time,0-2 years,0-2 years,NA,NA,NA,NA
134,Poland,No,Employed full-time,6-8 years,6-8 years,Polish złoty (zł),8500,Monthly,30000
135,Romania,No,Employed full-time,0-2 years,0-2 years,Euros (€),1800,Monthly,26436
136,France,"Yes, full-time",Employed part-time,3-5 years,NA,NA,NA,NA,NA
137,India,No,Employed full-time,6-8 years,6-8 years,Indian rupees (₹),2200000,Yearly,34440
138,Russian Federation,No,Employed full-time,6-8 years,3-5 years,NA,NA,NA,NA
140,India,No,Employed full-time,0-2 years,0-2 years,Indian rupees (₹),22000,Monthly,4128
141,Germany,No,Employed full-time,9-11 years,NA,NA,NA,NA,NA
142,Brazil,No,Employed full-time,15-17 years,9-11 years,Brazilian reais (R$),6500,NA,NA
143,Bulgaria,"Yes, full-time",Employed full-time,0-2 years,0-2 years,NA,NA,NA,NA
146,"Iran, Islamic Republic of...","Yes, part-time",Employed part-time,0-2 years,0-2 years,U.S. dollars ($),NA,Monthly,NA
148,United States,No,Employed full-time,6-8 years,6-8 years,U.S. dollars ($),141625,Yearly,141625
149,Brazil,"Yes, part-time",Employed full-time,0-2 years,NA,NA,NA,NA,NA
150,Russian Federation,No,Employed full-time,3-5 years,0-2 years,NA,NA,NA,NA
151,United Kingdom,No,Employed full-time,12-14 years,9-11 years,British pounds sterling (£),51183,Yearly,71095
152,Ukraine,No,Employed full-time,0-2 years,NA,NA,NA,NA,NA
153,Germany,No,Employed full-time,6-8 years,3-5 years,Euros (€),2400,Monthly,35244
155,India,No,Employed full-time,3-5 years,0-2 years,Indian rupees (₹),300000,Yearly,4696
156,Nepal,"Yes, part-time",Employed full-time,0-2 years,NA,NA,NA,NA,NA
157,United States,No,Employed full-time,6-8 years,NA,NA,NA,NA,NA
158,Bangladesh,No,Employed full-time,3-5 years,NA,NA,NA,NA,NA
160,Pakistan,No,Employed full-time,3-5 years,3-5 years,NA,NA,Monthly,NA
161,United States,No,Employed full-time,9-11 years,6-8 years,U.S. dollars ($),120000,Yearly,120000
162,India,No,Employed full-time,3-5 years,0-2 years,Indian rupees (₹),NA,Monthly,NA
163,United Kingdom,No,Employed full-time,21-23 years,18-20 years,British pounds sterling (£),50000,NA,69452
164,United Kingdom,No,Employed full-time,3-5 years,3-5 years,British pounds sterling (£),46000,Yearly,63896
167,United States,No,Employed full-time,3-5 years,3-5 years,U.S. dollars ($),NA,NA,NA
168,Sweden,No,Employed full-time,3-5 years,3-5 years,Swedish kroner (SEK),510000,Yearly,63628
169,United States,No,Employed full-time,21-23 years,18-20 years,U.S. dollars ($),110000,Yearly,110000
170,India,No,Employed full-time,3-5 years,0-2 years,Indian rupees (₹),NA,Monthly,NA
175,Poland,No,Employed full-time,12-14 years,NA,NA,NA,NA,NA
177,South Africa,No,Employed full-time,6-8 years,3-5 years,South African rands (R),29000,Monthly,28680
179,Canada,"Yes, full-time",Employed full-time,12-14 years,12-14 years,NA,NA,NA,NA
181,Jordan,"Yes, full-time",Employed full-time,9-11 years,6-8 years,NA,NA,NA,NA
182,India,"Yes, full-time",Employed full-time,3-5 years,3-5 years,Indian rupees (₹),52000,Monthly,9768
184,Portugal,No,Employed full-time,9-11 years,0-2 years,Euros (€),,Yearly,21418
186,United Kingdom,No,Employed full-time,15-17 years,9-11 years,British pounds sterling (£),55000,Monthly,916764
187,Italy,No,Employed full-time,9-11 years,9-11 years,Euros (€),25000,NA,30597
188,New Zealand,"Yes, full-time",Employed full-time,3-5 years,3-5 years,Australian dollars (A$),75000,Yearly,59980
189,Turkey,"Yes, full-time",Employed full-time,3-5 years,0-2 years,NA,72000,Monthly,228888
192,Czech Republic,No,Employed full-time,18-20 years,6-8 years,NA,NA,Monthly,NA
194,Israel,No,Employed full-time,15-17 years,NA,NA,NA,NA,NA
195,Poland,No,Employed full-time,3-5 years,3-5 years,Polish złoty (zł),12000,Monthly,42348
196,Portugal,No,Employed full-time,9-11 years,6-8 years,Euros (€),40000,Yearly,48955
198,India,No,Employed full-time,15-17 years,12-14 years,Indian rupees (₹),200000,Monthly,37572
201,United Kingdom,NA,Employed full-time,6-8 years,0-2 years,British pounds sterling (£),25000,Yearly,34726
202,India,"Yes, full-time",Employed full-time,3-5 years,3-5 years,NA,NA,NA,NA
206,Sweden,No,Employed full-time,6-8 years,3-5 years,Swedish kroner (SEK),37000,Monthly,55392
211,Viet Nam,No,Employed full-time,3-5 years,NA,NA,NA,NA,NA
212,Spain,No,Employed full-time,12-14 years,NA,NA,NA,NA,NA
213,India,No,Employed full-time,9-11 years,6-8 years,Indian rupees (₹),1770000,Yearly,27708
214,United States,No,Employed full-time,9-11 years,3-5 years,U.S. dollars ($),70000,Yearly,70000
216,Denmark,No,Employed full-time,15-17 years,6-8 years,Danish krone (kr),30000,Monthly,59172
217,Australia,No,Employed full-time,6-8 years,0-2 years,Australian dollars (A$),75000,Yearly,59980
218,Australia,No,Employed full-time,15-17 years,6-8 years,Australian dollars (A$),115000,NA,91969
219,"Iran, Islamic Republic of...",No,Employed full-time,3-5 years,3-5 years,NA,30000000,Monthly,9984
222,France,"Yes, part-time",Employed full-time,6-8 years,0-2 years,Euros (€),45000,NA,55075
226,Austria,No,Employed full-time,9-11 years,6-8 years,Euros (€),NA,NA,NA
228,Australia,No,Employed full-time,30 or more years,18-20 years,Australian dollars (A$),110000,NA,87971
230,United States,No,Employed full-time,3-5 years,NA,NA,NA,NA,NA
231,India,"Yes, full-time",Employed full-time,6-8 years,3-5 years,Indian rupees (₹),40000,Monthly,7512
233,United States,No,Employed full-time,6-8 years,3-5 years,U.S. dollars ($),105000,Yearly,105000
234,India,No,Employed full-time,3-5 years,NA,NA,NA,NA,NA
236,Russian Federation,"Yes, part-time",Employed full-time,0-2 years,0-2 years,NA,NA,NA,NA
237,United States,No,Employed full-time,6-8 years,3-5 years,U.S. dollars ($),105000,NA,105000
240,India,No,Employed full-time,6-8 years,3-5 years,U.S. dollars ($),NA,Monthly,NA
242,India,NA,Employed full-time,6-8 years,3-5 years,Indian rupees (₹),NA,NA,NA
243,India,No,Employed full-time,3-5 years,3-5 years,Indian rupees (₹),NA,NA,NA
244,United Kingdom,No,Employed full-time,9-11 years,9-11 years,British pounds sterling (£),NA,NA,NA
245,Egypt,No,Employed full-time,12-14 years,12-14 years,U.S. dollars ($),3000,Monthly,36000
246,United States,No,Employed full-time,15-17 years,15-17 years,U.S. dollars ($),120000,Yearly,120000
247,Germany,"Yes, part-time",Employed part-time,6-8 years,3-5 years,Euros (€),4200,Monthly,61680
248,France,No,Employed full-time,9-11 years,6-8 years,Euros (€),35000,Yearly,42836
249,Indonesia,No,Employed full-time,9-11 years,9-11 years,NA,33000000,Monthly,29532
250,India,No,Employed full-time,3-5 years,NA,NA,NA,NA,NA
251,France,No,Employed full-time,12-14 years,9-11 years,Euros (€),,Yearly,64866
253,India,"Yes, full-time",Employed full-time,0-2 years,0-2 years,NA,NA,NA,NA
254,United States,No,Employed full-time,0-2 years,0-2 years,U.S. dollars ($),77000,NA,77000
255,Turkey,No,Employed full-time,15-17 years,6-8 years,U.S. dollars ($),3000,Monthly,36000
256,Netherlands,"Yes, full-time",Employed part-time,3-5 years,0-2 years,Euros (€),NA,Monthly,NA
257,United States,No,Employed full-time,9-11 years,6-8 years,U.S. dollars ($),97000,Yearly,97000
260,Germany,No,Employed full-time,30 or more years,27-29 years,Euros (€),NA,Monthly,NA
261,United Kingdom,No,Employed full-time,9-11 years,6-8 years,British pounds sterling (£),33000,Yearly,45838
263,Malaysia,No,Employed full-time,0-2 years,NA,NA,NA,NA,NA
264,Sweden,No,Employed full-time,15-17 years,9-11 years,Swedish kroner (SEK),40000,Monthly,59880
265,India,No,Employed full-time,9-11 years,NA,NA,NA,NA,NA
266,Germany,No,Employed full-time,6-8 years,6-8 years,Euros (€),40000,Yearly,48955
267,Belgium,No,Employed full-time,6-8 years,3-5 years,NA,NA,NA,NA
270,Brazil,"Yes, part-time",Employed full-time,0-2 years,0-2 years,Brazilian reais (R$),1800,Monthly,6732
271,United States,No,Employed full-time,6-8 years,3-5 years,U.S. dollars ($),125000,Yearly,125000
272,Canada,No,Employed full-time,9-11 years,9-11 years,Canadian dollars (C$),90000,NA,72469
